name,type,awd,rwd,retailprice,dealercost,enginesizel,cyl,horsepower,citymilespergallon,highwaymilespergallon,weight,wheelbase,len,width
NissanXterraXEV6,SUV,0,0,20939,19512,3.3,6,180,17,20,3760,104,178,70
OldsmobileAleroGLS2dr,Sedan,0,0,23675,21485,3.4,6,170,20,29,3085,107,187,70
OldsmobileAleroGX2dr,Sedan,0,0,18825,17642,2.2,4,140,24,32,2946,107,187,70
OldsmobileSilhouetteGL,Minivan,0,0,28790,26120,3.4,6,185,19,26,3948,120,201,72
PontiacAztekt,SUV,0,0,21595,19810,3.4,6,185,19,26,3779,108,182,74
PontiacGrandAmGT2dr,Sedan,0,0,22450,20595,3.4,6,175,20,29,3118,107,186,70
PontiacGrandPrixGT14dr,Sedan,0,0,22395,20545,3.8,6,200,20,30,3477,111,198,74
PontiacGrandPrixGT24dr,Sedan,0,0,24295,22284,3.8,6,200,20,30,3484,111,198,74
PontiacMontana,Minivan,0,0,23845,21644,3.4,6,185,19,26,3803,112,187,72
PontiacMontanaEWB,Minivan,1,0,31370,28454,3.4,6,185,18,24,4431,121,201,72
PontiacSunfire1SA2dr,Sedan,0,0,15495,14375,2.2,4,140,24,33,2771,104,182,68
PontiacSunfire1SC2dr,Sedan,0,0,17735,16369,2.2,4,140,24,33,2771,104,182,68
PontiacVibe,Wagon,0,1,17045,15973,1.8,4,130,29,36,2701,102,172,70
Porsche911Carrera4Scoupe2drconvert,SportsCar,1,0,84165,72206,3.6,6,315,17,24,3240,93,175,72
Porsche911Carreraconvertible2drcoupe,SportsCar,0,1,79165,69229,3.6,6,315,18,26,3135,93,175,70
Porsche911GT22dr,SportsCar,0,1,192465,173560,3.6,6,477,17,24,3131,93,175,72
Porsche911Targacoupe2dr,SportsCar,0,1,76765,67128,3.6,6,315,18,26,3119,93,175,70
PorscheBoxsterconvertible2dr,SportsCar,0,1,43365,37886,2.7,6,228,20,29,2811,95,170,70
PorscheBoxsterSconvertible2dr,SportsCar,0,1,52365,45766,3.2,6,258,18,26,2911,95,170,70
PorscheCayenneS,SUV,1,0,56665,49865,4.5,8,340,14,18,4950,112,188,76
Saab9-3Aero4dr,Sedan,0,0,33360,31562,2,4,210,20,28,3175,105,183,69
Saab9-3Aeroconvertible2dr,Sedan,0,0,43175,40883,2,4,210,21,30,3700,105,182,69
Saab9-3Arcconvertible2dr,Sedan,0,0,40670,38520,2,4,210,21,29,3480,105,182,69
Saab9-3ArcSport4dr,Sedan,0,0,30860,29269,2,4,210,20,28,3175,105,183,69
Saab9-5Aero,Wagon,0,0,40845,38376,2.3,4,250,19,29,3620,106,190,71
Saab9-5Aero4dr,Sedan,0,0,39465,37721,2.3,4,250,21,29,3470,106,190,71
Saab9-5Arc4dr,Sedan,0,0,35105,33011,2.3,4,220,21,29,3470,106,190,71
SaturnIon14dr,Sedan,0,0,10995,10319,2.2,4,140,26,35,2692,103,185,67
SaturnL3002,Wagon,0,0,23560,21779,2.2,4,140,24,34,3109,107,190,69
SaturnL300-24dr,Sedan,0,0,21410,19801,3,6,182,20,28,3197,107,190,69
Saturnlon24dr,Sedan,0,0,14300,13393,2.2,4,140,26,35,2692,103,185,67
Saturnlon2quadcoupe2dr,Sedan,0,0,14850,13904,2.2,4,140,26,35,2751,103,185,68
Saturnlon34dr,Sedan,0,0,15825,14811,2.2,4,140,26,35,2692,103,185,67
Saturnlon3quadcoupe2dr,Sedan,0,0,16350,15299,2.2,4,140,26,35,2751,103,185,68
SaturnVUE,SUV,1,0,20585,19238,2.2,4,143,21,26,3381,107,181,72
ScionxA4drhatch,Sedan,0,0,12965,12340,1.5,4,108,32,38,2340,93,154,67
ScionxB,Wagon,0,0,14165,13480,1.5,4,108,31,35,2425,98,155,67
SubaruForesterX,Wagon,1,0,21445,19646,2.5,4,165,21,28,3090,99,175,68
SubaruImpreza2.5RS4dr,Sedan,1,0,19945,18399,2.5,4,165,22,28,2965,99,174,69
SubaruImprezaWRX4dr,SportsCar,1,0,25045,23022,2,4,227,20,27,3085,99,174,69
SubaruImprezaWRXSTi4dr,SportsCar,1,0,31545,29130,2.5,4,300,18,24,3263,100,174,69
SubaruLegacyGT4dr,Sedan,1,0,25645,23336,2.5,4,165,21,28,3395,104,184,69
SubaruLegacyL4dr,Sedan,1,0,20445,18713,2.5,4,165,21,28,3285,104,184,69
SubaruOutback,Wagon,1,0,23895,21773,2.5,4,165,21,28,3430,104,187,69
SubaruOutbackH64dr,Sedan,1,0,29345,26660,3,6,212,19,26,3610,104,184,69
SubaruOutbackH-6VDC4dr,Sedan,1,0,31545,28603,3,6,212,19,26,3630,104,184,69
SubaruOutbackLimitedSedan4dr,Sedan,1,0,27145,24687,2.5,4,165,20,27,3495,104,184,69
SuzukiAenoS4dr,Sedan,0,0,12884,12719,2.3,4,155,25,31,2676,98,171,68
SuzukiAerioLX4dr,Sedan,0,0,14500,14317,2.3,4,155,25,31,2676,98,171,68
SuzukiAerioSX,Wagon,1,0,16497,16291,2.3,4,155,24,29,2932,98,167,68
SuzukiForenzaEX4dr,Sedan,0,0,15568,15378,2,4,119,22,30,2756,102,177,68
SuzukiForenzaS4dr,Sedan,0,0,12269,12116,2,4,119,24,31,2701,102,177,68
SuzukiVeronaLX4dr,Sedan,0,0,17262,17053,2.5,6,155,20,27,3380,106,188,72
SuzukiVitaraLX,SUV,1,0,17163,16949,2.5,6,165,19,22,3020,98,163,67
SuzukiXL-7EX,SUV,0,0,23699,22307,2.7,6,185,18,22,3682,110,187,70
Toyota4RunnerSR5V6,SUV,0,0,27710,24801,4,6,245,18,21,4035,110,189,74
ToyotaAvalonXL4dr,Sedan,0,0,26560,23693,3,6,210,21,29,3417,107,192,72
ToyotaAvalonXLS4dr,Sedan,0,0,30920,27271,3,6,210,21,29,3439,107,192,72
ToyotaCamryLE4dr,Sedan,0,0,19560,17558,2.4,4,157,24,33,3086,107,189,71
ToyotaCamryLEV64dr,Sedan,0,0,22775,20325,3,6,210,21,29,3296,107,189,71
ToyotaCamrySolaraSE2dr,Sedan,0,0,19635,17722,2.4,4,157,24,33,3175,107,193,72
ToyotaCamrySolaraSEV62dr,Sedan,0,0,21965,19819,3.3,6,225,20,29,3417,107,193,72
ToyotaCamrySolaraSLEV62dr,Sedan,0,0,26510,23908,3.3,6,225,20,29,3439,107,193,72
ToyotaCamryXLEV64dr,Sedan,0,0,25920,23125,3,6,210,21,29,3362,107,189,71
ToyotaCelicaGT-S2dr,SportsCar,0,0,22570,20363,1.8,4,180,24,33,2500,102,171,68
ToyotaCorollaCE4dr,Sedan,0,0,14085,13065,1.8,4,130,32,40,2502,102,178,67
ToyotaCorollaLE4dr,Sedan,0,0,15295,13889,1.8,4,130,32,40,2524,102,178,67
ToyotaCorollaS4dr,Sedan,0,0,15030,13650,1.8,4,130,32,40,2524,102,178,67
ToyotaEcho2drauto,Sedan,0,0,11560,10896,1.5,4,108,33,39,2085,93,163,65
ToyotaEcho2drmanual,Sedan,0,0,10760,10144,1.5,4,108,35,43,2035,93,163,65
ToyotaEcho4dr,Sedan,0,0,11290,10642,1.5,4,108,35,43,2055,93,163,65
ToyotaHighlanderV6,SUV,1,0,27930,24915,3.3,6,230,18,24,3935,107,185,72
ToyotaLandCruiser,SUV,1,0,54765,47986,4.7,8,325,13,17,5390,112,193,76
ToyotaMatrixXR,Wagon,0,0,16695,15156,1.8,4,130,29,36,2679,102,171,70
ToyotaMR2Spyderconvertible2dr,SportsCar,0,1,25130,22787,1.8,4,138,26,32,2195,97,153,67
ToyotaPrius4drgas/electric,Sedan,0,0,20510,18926,1.5,4,110,59,51,2890,106,175,68
ToyotaRAV4,SUV,1,0,20290,18553,2.4,4,161,22,27,3119,98,167,68
ToyotaSequoiaSR5,SUV,1,0,35695,31827,4.7,8,240,14,17,5270,118,204,78
ToyotaSiennaCE,Minivan,0,0,23495,21198,3.3,6,230,19,27,4120,119,200,77
ToyotaSiennaXLELimited,Minivan,0,0,28800,25690,3.3,6,230,19,27,4165,119,200,77
VolkswagenGolfGLS4dr,Sedan,0,0,18715,17478,2,4,115,24,31,2897,99,165,68
VolkswagenGTI1.8T2drhatch,Sedan,0,0,19825,18109,1.8,4,180,24,31,2934,99,168,68
VolkswagenJettaGL,Wagon,0,0,19005,17427,2,4,115,24,30,3034,99,174,68
VolkswagenJettaGLIVR64dr,Sedan,0,0,23785,21686,2.8,6,200,21,30,3179,99,172,68
VolkswagenJettaGLSTDI4dr,Sedan,0,0,21055,19638,1.9,4,100,38,46,3003,99,172,68
VolkswagenNewBeetleGLS1.8T2dr,Sedan,0,0,21055,19638,1.8,4,150,24,31,2820,99,161,68
VolkswagenNewBeetleGLSconvertible2dr,Sedan,0,0,23215,21689,2,4,115,24,30,3082,99,161,68
VolkswagenPassatGLS1.8T,Wagon,0,0,24955,22801,1.8,4,170,22,31,3338,106,184,69
VolkswagenPassatGLS4dr,Sedan,0,0,23955,21898,1.8,4,170,22,31,3241,106,185,69
VolkswagenPassatGLXV64MOTION4dr,Sedan,0,0,33180,30583,2.8,6,190,19,26,3721,106,185,69
VolkswagenPassatW8,Wagon,0,0,40235,36956,4,8,270,18,25,4067,106,184,69
VolkswagenPassatW84MOTION4dr,Sedan,0,0,39235,36052,4,8,270,18,25,3953,106,185,69
VolkswagenTouaregV6,SUV,1,0,35515,32243,3.2,6,220,15,20,5086,112,187,76
VolvoC70HPTconvertible2dr,Sedan,0,0,42565,40083,2.3,5,242,20,26,3450,105,186,72
VolvoC70LPTconvertible2dr,Sedan,0,0,40565,38203,2.4,5,197,21,28,3450,105,186,72
VolvoS404dr,Sedan,0,0,25135,23701,1.9,4,170,22,29,2767,101,178,68
VolvoS602.54dr,Sedan,1,0,31745,29916,2.5,5,208,20,27,3903,107,180,71
VolvoS60R4dr,Sedan,1,0,37560,35382,2.5,5,300,18,25,3571,107,181,71
VolvoS60T54dr,Sedan,0,0,34845,32902,2.3,5,247,20,28,3766,107,180,71
VolvoS802.5T4dr,Sedan,1,0,37885,35688,2.5,5,194,20,27,3691,110,190,72
VolvoS802.94dr,Sedan,0,0,37730,35542,2.9,6,208,20,28,3576,110,190,72
VolvoS80T64dr,Sedan,0,0,45210,42573,2.9,6,268,19,26,3653,110,190,72
VolvoV40,Wagon,0,0,26135,24641,1.9,4,170,22,29,2822,101,180,68
VolvoXC70,Wagon,1,0,35145,33112,2.5,5,208,20,27,3823,109,186,73
VolvoXC90T6,SUV,1,0,41250,38851,2.9,6,268,15,20,4638,113,189,75
